Date,Transaction Description,Category,Amount,Type,Month,Net,Cumulative_Savings
2020-05-21,Floor music catch discuss.,Utilities,881.99,Expense,2020-05,-881.99,-33365.00000000001
2020-05-25,Ask imagine my.,Travel,1227.24,Expense,2020-05,-1227.24,-34592.240000000005
2020-05-27,Deal information.,Food & Drink,1339.05,Expense,2020-05,-1339.05,-35931.29000000001
2020-05-28,Task she.,Rent,1878.47,Expense,2020-05,-1878.47,-37809.76000000001
2020-05-29,Accept goal send table.,Investment,1376.0,Income,2020-05,1376.0,-36433.76000000001
2020-05-30,Section national owner determine detail.,Utilities,551.97,Expense,2020-05,-551.97,-36985.73000000001
2020-05-31,Ahead from quickly identify.,Health & Fitness,415.16,Expense,2020-05,-415.16,-37400.890000000014
2020-05-31,Try wonder move trade.,Travel,1015.76,Expense,2020-05,-1015.76,-38416.650000000016
2020-06-01,Base investment.,Food & Drink,193.67,Expense,2020-06,-193.67,-38610.320000000014
2020-06-02,Anyone here deep.,Travel,97.73,Expense,2020-06,-97.73,-38708.05000000002
2020-06-05,Seven here sell story.,Utilities,1277.86,Expense,2020-06,-1277.86,-39985.91000000002
2020-06-06,Like see.,Salary,1107.84,Expense,2020-06,-1107.84,-41093.750000000015
2020-06-07,Difference attention whatever american.,Food & Drink,232.63,Expense,2020-06,-232.63,-41326.38000000001
2020-06-08,Current after charge.,Utilities,1095.72,Expense,2020-06,-1095.72,-42422.10000000001
2020-06-09,Paper white responsibility.,Other,826.0,Income,2020-06,826.0,-41596.10000000001
2020-06-09,Prove nor design record.,Utilities,865.28,Expense,2020-06,-865.28,-42461.38000000001
2020-06-10,Blue agent find.,Entertainment,1367.31,Expense,2020-06,-1367.31,-43828.69000000001
2020-06-10,Walk cup option store.,Health & Fitness,1562.43,Expense,2020-06,-1562.43,-45391.12000000001
2020-06-11,Recent feeling.,Shopping,1947.94,Expense,2020-06,-1947.94,-47339.06000000001
2020-06-11,Site girl into have media.,Entertainment,1730.57,Expense,2020-06,-1730.57,-49069.63000000001
2020-06-12,Support state.,Utilities,1764.02,Expense,2020-06,-1764.02,-50833.65000000001
2020-06-14,Whether player stock religious.,Other,3872.0,Income,2020-06,3872.0,-46961.65000000001
2020-06-15,Safe whole establish.,Entertainment,540.94,Expense,2020-06,-540.94,-47502.59000000001
2020-06-18,Everything late.,Other,2322.0,Income,2020-06,2322.0,-45180.59000000001
2020-06-18,Let stay or focus.,Rent,771.26,Expense,2020-06,-771.26,-45951.85000000001
2020-06-18,Particular her agreement surface consider.,Other,3364.0,Income,2020-06,3364.0,-42587.85000000001
2020-06-19,Act way beat result major.,Shopping,663.24,Expense,2020-06,-663.24,-43251.09000000001
2020-06-19,Something future they red.,Entertainment,453.62,Expense,2020-06,-453.62,-43704.710000000014
2020-06-21,Position make society behavior.,Travel,708.78,Expense,2020-06,-708.78,-44413.49000000001
2020-06-21,Reality fill ok list.,Health & Fitness,1879.08,Expense,2020-06,-1879.08,-46292.570000000014
2020-06-22,International second former reflect.,Other,1962.0,Income,2020-06,1962.0,-44330.570000000014
2020-06-22,Edge building court.,Travel,86.13,Expense,2020-06,-86.13,-44416.70000000001
2020-06-24,Week real course school everybody.,Health & Fitness,1459.8,Expense,2020-06,-1459.8,-45876.500000000015
2020-06-30,Executive beyond create dinner conference.,Rent,776.54,Expense,2020-06,-776.54,-46653.040000000015
2020-06-30,Call animal approach factor want.,Travel,98.33,Expense,2020-06,-98.33,-46751.37000000002
2020-07-02,Their off.,Entertainment,734.8,Expense,2020-07,-734.8,-47486.17000000002
2020-07-03,Key continue anything wait.,Other,3071.0,Income,2020-07,3071.0,-44415.17000000002
2020-07-04,State husband.,Rent,1442.31,Expense,2020-07,-1442.31,-45857.48000000002
2020-07-05,Picture approach chance none fight.,Travel,1337.12,Expense,2020-07,-1337.12,-47194.60000000002
2020-07-06,Newspaper indicate other.,Travel,1113.28,Expense,2020-07,-1113.28,-48307.88000000002
2020-07-06,Herself training father open investment.,Other,1925.0,Income,2020-07,1925.0,-46382.88000000002
2020-07-08,Art whether between several personal.,Travel,818.09,Expense,2020-07,-818.09,-47200.970000000016
2020-07-11,Church community.,Travel,580.96,Expense,2020-07,-580.96,-47781.930000000015
2020-07-12,Able late order.,Health & Fitness,935.33,Expense,2020-07,-935.33,-48717.26000000002
2020-07-12,Discuss religious.,Entertainment,1027.24,Expense,2020-07,-1027.24,-49744.500000000015
2020-07-13,Reach under.,Utilities,1321.11,Expense,2020-07,-1321.11,-51065.610000000015
2020-07-17,Boy different chance enter.,Health & Fitness,195.84,Expense,2020-07,-195.84,-51261.45000000001
2020-07-20,Arrive society.,Entertainment,1348.86,Expense,2020-07,-1348.86,-52610.31000000001
2020-07-21,Matter management ball.,Other,1096.0,Income,2020-07,1096.0,-51514.31000000001
2020-07-21,Keep light fight.,Entertainment,303.23,Expense,2020-07,-303.23,-51817.540000000015
2020-07-22,Million kind everything young.,Food & Drink,1786.39,Expense,2020-07,-1786.39,-53603.930000000015
2020-07-22,Week yourself public especially american.,Shopping,495.53,Expense,2020-07,-495.53,-54099.460000000014
2020-07-22,Same page ago director.,Entertainment,1439.51,Expense,2020-07,-1439.51,-55538.970000000016
2020-07-23,Why like impact fly.,Rent,1559.06,Expense,2020-07,-1559.06,-57098.03000000001
2020-07-24,Form really explain.,Salary,109.93,Expense,2020-07,-109.93,-57207.960000000014
2020-07-28,Already because education break significant.,Rent,918.36,Expense,2020-07,-918.36,-58126.320000000014
2020-07-28,Price my.,Health & Fitness,1900.58,Expense,2020-07,-1900.58,-60026.900000000016
2020-07-29,Could gun.,Shopping,1662.83,Expense,2020-07,-1662.83,-61689.73000000002
2020-07-30,Kind appear environment capital explain.,Utilities,1489.87,Expense,2020-07,-1489.87,-63179.60000000002
2020-07-31,Ahead picture son.,Travel,1506.04,Expense,2020-07,-1506.04,-64685.64000000002
2020-08-01,Water positive child usually.,Entertainment,556.45,Expense,2020-08,-556.45,-65242.09000000002
2020-08-01,Relate indeed lot line lead.,Other,2420.0,Income,2020-08,2420.0,-62822.09000000002
2020-08-01,Nearly need behavior.,Travel,1533.97,Expense,2020-08,-1533.97,-64356.06000000002
2020-08-02,Course out second carry.,Health & Fitness,1787.12,Expense,2020-08,-1787.12,-66143.18000000002
2020-08-03,Significant take future.,Investment,2394.0,Income,2020-08,2394.0,-63749.18000000002
2020-08-04,Star executive fear.,Utilities,1415.77,Expense,2020-08,-1415.77,-65164.95000000002
2020-08-04,Your majority chance mrs generation.,Other,3210.0,Income,2020-08,3210.0,-61954.95000000002
2020-08-04,Help usually thank wonder draw.,Shopping,133.91,Expense,2020-08,-133.91,-62088.86000000002
2020-08-05,Task improve fish.,Shopping,1810.63,Expense,2020-08,-1810.63,-63899.49000000002
2020-08-05,History professional star wonder.,Food & Drink,1714.9,Expense,2020-08,-1714.9,-65614.39000000001
2020-08-06,Call whole.,Shopping,959.19,Expense,2020-08,-959.19,-66573.58000000002
2020-08-08,Address century that wide.,Shopping,1081.06,Expense,2020-08,-1081.06,-67654.64000000001
2020-08-08,Them key.,Travel,1509.42,Expense,2020-08,-1509.42,-69164.06000000001
2020-08-09,Sit enter perhaps however.,Entertainment,981.58,Expense,2020-08,-981.58,-70145.64000000001
2020-08-13,System teacher here first.,Salary,67.76,Expense,2020-08,-67.76,-70213.40000000001
2020-08-14,Along attention piece tv young.,Shopping,1451.12,Expense,2020-08,-1451.12,-71664.52
2020-08-16,Within set region beyond.,Utilities,1961.64,Expense,2020-08,-1961.64,-73626.16
2020-08-17,Tough animal someone.,Shopping,1187.87,Expense,2020-08,-1187.87,-74814.03
2020-08-18,Hear certainly most not.,Rent,1289.07,Expense,2020-08,-1289.07,-76103.1
2020-08-19,Company participant him.,Other,1988.0,Income,2020-08,1988.0,-74115.1
2020-08-20,Tree central leave effect.,Other,3181.0,Income,2020-08,3181.0,-70934.1
2020-08-21,Together let.,Health & Fitness,681.63,Expense,2020-08,-681.63,-71615.73000000001
2020-08-21,Citizen kid generation onto police.,Travel,1506.5,Expense,2020-08,-1506.5,-73122.23000000001
2020-08-22,Lead few yourself.,Travel,1671.47,Expense,2020-08,-1671.47,-74793.70000000001
2020-08-22,Down occur.,Food & Drink,1999.82,Expense,2020-08,-1999.82,-76793.52000000002
2020-08-26,Yeah far within.,Rent,1564.65,Expense,2020-08,-1564.65,-78358.17000000001
2020-08-27,Seat strategy total simply discover.,Investment,1748.0,Income,2020-08,1748.0,-76610.17000000001
2020-08-27,Account ten sing.,Food & Drink,1899.73,Expense,2020-08,-1899.73,-78509.90000000001
2020-08-29,Pm per question.,Salary,1342.22,Expense,2020-08,-1342.22,-79852.12000000001
2020-08-30,Best physical always small almost.,Entertainment,935.42,Expense,2020-08,-935.42,-80787.54000000001
2020-08-31,Bed far section.,Health & Fitness,343.9,Expense,2020-08,-343.9,-81131.44
2020-09-01,Car much will.,Rent,1557.81,Expense,2020-09,-1557.81,-82689.25
2020-09-05,Tree store either station.,Other,1385.0,Income,2020-09,1385.0,-81304.25
2020-09-05,Second full boy.,Travel,1155.84,Expense,2020-09,-1155.84,-82460.09
2020-09-06,Senior difficult put.,Shopping,799.34,Expense,2020-09,-799.34,-83259.43
2020-09-07,Hand so add mr lawyer.,Rent,1188.27,Expense,2020-09,-1188.27,-84447.7
2020-09-08,Herself police he push likely.,Entertainment,212.78,Expense,2020-09,-212.78,-84660.48
2020-09-11,Doctor mr.,Health & Fitness,147.22,Expense,2020-09,-147.22,-84807.7
2020-09-11,Trip determine as statement.,Rent,1594.49,Expense,2020-09,-1594.49,-86402.19
2020-09-11,Bring animal also you.,Food & Drink,700.94,Expense,2020-09,-700.94,-87103.13
2020-09-16,He we recent music.,Food & Drink,1700.66,Expense,2020-09,-1700.66,-88803.79000000001
2020-09-17,Those pressure street.,Rent,872.71,Expense,2020-09,-872.71,-89676.50000000001
2020-09-17,Allow have kitchen.,Salary,1417.54,Expense,2020-09,-1417.54,-91094.04000000001
2020-09-18,Between rate name within.,Travel,1235.67,Expense,2020-09,-1235.67,-92329.71
2020-09-18,Huge couple.,Salary,935.1,Expense,2020-09,-935.1,-93264.81000000001
2020-09-22,Begin deep police wife.,Travel,651.39,Expense,2020-09,-651.39,-93916.20000000001
2020-09-22,During call north attention.,Rent,565.07,Expense,2020-09,-565.07,-94481.27000000002
2020-09-22,Only spend do.,Salary,1144.0,Expense,2020-09,-1144.0,-95625.27000000002
2020-09-23,Produce ago.,Utilities,980.22,Expense,2020-09,-980.22,-96605.49000000002
2020-09-23,Able teach certain candidate economy.,Health & Fitness,67.11,Expense,2020-09,-67.11,-96672.60000000002
2020-09-25,So draw food company.,Travel,687.27,Expense,2020-09,-687.27,-97359.87000000002
2020-09-27,Score moment second.,Travel,1116.02,Expense,2020-09,-1116.02,-98475.89000000003
2020-09-27,Sing message board mean.,Entertainment,180.37,Expense,2020-09,-180.37,-98656.26000000002
2020-09-27,Feeling poor all your suggest.,Salary,1114.8,Expense,2020-09,-1114.8,-99771.06000000003
2020-09-29,Make travel.,Salary,1295.35,Expense,2020-09,-1295.35,-101066.41000000003
2020-09-30,Focus chance.,Food & Drink,195.18,Expense,2020-09,-195.18,-101261.59000000003
2020-10-01,Person one republican.,Entertainment,619.35,Expense,2020-10,-619.35,-101880.94000000003
2020-10-03,Most law painting between reduce.,Salary,1111.41,Expense,2020-10,-1111.41,-102992.35000000003
2020-10-04,Involve thousand including.,Health & Fitness,710.1,Expense,2020-10,-710.1,-103702.45000000004
2020-10-07,Rather listen before.,Investment,3084.0,Income,2020-10,3084.0,-100618.45000000004
2020-10-07,It season.,Investment,2069.0,Income,2020-10,2069.0,-98549.45000000004
2020-10-07,Indeed believe interview professor.,Travel,510.29,Expense,2020-10,-510.29,-99059.74000000003
2020-10-08,News only no.,Salary,560.23,Expense,2020-10,-560.23,-99619.97000000003
2020-10-08,Improve them wait.,Travel,1961.22,Expense,2020-10,-1961.22,-101581.19000000003
2020-10-10,Why outside.,Travel,462.69,Expense,2020-10,-462.69,-102043.88000000003
2020-10-10,Official defense.,Investment,4875.0,Income,2020-10,4875.0,-97168.88000000003
2020-10-10,Suggest glass news.,Investment,946.0,Income,2020-10,946.0,-96222.88000000003
2020-10-12,Off southern suddenly.,Utilities,1279.36,Expense,2020-10,-1279.36,-97502.24000000003
2020-10-14,Participant price.,Rent,1746.71,Expense,2020-10,-1746.71,-99248.95000000004
2020-10-15,Congress reflect.,Salary,962.64,Expense,2020-10,-962.64,-100211.59000000004
2020-10-16,Heavy law church.,Rent,1158.27,Expense,2020-10,-1158.27,-101369.86000000004
2020-10-16,Scientist will begin.,Rent,1646.01,Expense,2020-10,-1646.01,-103015.87000000004
2020-10-16,Go consider century price.,Food & Drink,512.43,Expense,2020-10,-512.43,-103528.30000000003
2020-10-18,Since nothing be apply.,Utilities,306.9,Expense,2020-10,-306.9,-103835.20000000003
2020-10-19,Anyone bank kitchen interest parent.,Travel,179.51,Expense,2020-10,-179.51,-104014.71000000002
2020-10-23,Democratic mention generation.,Shopping,1216.57,Expense,2020-10,-1216.57,-105231.28000000003
2020-10-24,Question or money.,Entertainment,1553.63,Expense,2020-10,-1553.63,-106784.91000000003
2020-10-26,Determine worker.,Salary,601.73,Expense,2020-10,-601.73,-107386.64000000003
2020-10-27,Daughter war.,Shopping,617.71,Expense,2020-10,-617.71,-108004.35000000003
2020-10-27,Face build market.,Rent,1895.7,Expense,2020-10,-1895.7,-109900.05000000003
2020-10-27,Can mouth discover.,Entertainment,536.65,Expense,2020-10,-536.65,-110436.70000000003
2020-10-28,Author technology amount affect.,Investment,1923.0,Income,2020-10,1923.0,-108513.70000000003
2020-10-29,Office of remember individual.,Utilities,15.32,Expense,2020-10,-15.32,-108529.02000000003
2020-10-30,Again foot soon peace.,Salary,589.61,Expense,2020-10,-589.61,-109118.63000000003
2020-10-31,Join black.,Travel,1408.95,Expense,2020-10,-1408.95,-110527.58000000003
2020-11-01,Hundred bad that second develop.,Entertainment,1848.58,Expense,2020-11,-1848.58,-112376.16000000003
2020-11-01,Member box.,Entertainment,856.03,Expense,2020-11,-856.03,-113232.19000000003
2020-11-02,Town glass road.,Utilities,1817.74,Expense,2020-11,-1817.74,-115049.93000000004
2020-11-04,Bill eight community.,Rent,128.68,Expense,2020-11,-128.68,-115178.61000000003
2020-11-06,Concern significant.,Travel,883.92,Expense,2020-11,-883.92,-116062.53000000003
2020-11-07,Senior service large under.,Travel,1402.47,Expense,2020-11,-1402.47,-117465.00000000003
2020-11-09,Follow wife firm key light.,Salary,881.14,Expense,2020-11,-881.14,-118346.14000000003
2020-11-10,Option goal avoid.,Shopping,1471.72,Expense,2020-11,-1471.72,-119817.86000000003
2020-11-10,Also hard expert popular.,Food & Drink,191.74,Expense,2020-11,-191.74,-120009.60000000003
2020-11-12,Training occur could painting.,Travel,1156.73,Expense,2020-11,-1156.73,-121166.33000000003
2020-11-12,Order his oil west school.,Food & Drink,1999.15,Expense,2020-11,-1999.15,-123165.48000000003
2020-11-14,Whatever late specific.,Utilities,946.3,Expense,2020-11,-946.3,-124111.78000000003
2020-11-14,Mean common.,Travel,371.16,Expense,2020-11,-371.16,-124482.94000000003
2020-11-14,Yard model particular hair.,Salary,1938.42,Expense,2020-11,-1938.42,-126421.36000000003
2020-11-14,Impact full our smile.,Shopping,673.28,Expense,2020-11,-673.28,-127094.64000000003
2020-11-15,Form newspaper.,Utilities,666.31,Expense,2020-11,-666.31,-127760.95000000003
2020-11-15,Edge surface who.,Travel,1328.54,Expense,2020-11,-1328.54,-129089.49000000002
2020-11-16,Bank professional true financial.,Food & Drink,915.1,Expense,2020-11,-915.1,-130004.59000000003
2020-11-16,Organization visit finally.,Health & Fitness,240.68,Expense,2020-11,-240.68,-130245.27000000002
2020-11-17,Spend prove stock school.,Food & Drink,1318.74,Expense,2020-11,-1318.74,-131564.01
2020-11-20,Position interest.,Shopping,117.87,Expense,2020-11,-117.87,-131681.88
2020-11-22,Guy congress.,Salary,1254.56,Expense,2020-11,-1254.56,-132936.44
2020-11-23,Way main difficult case.,Entertainment,541.44,Expense,2020-11,-541.44,-133477.88
2020-11-25,Such big side.,Other,4089.0,Income,2020-11,4089.0,-129388.88
2020-11-25,Product then.,Salary,251.64,Expense,2020-11,-251.64,-129640.52
2020-11-26,Heavy class story side speak.,Entertainment,1422.47,Expense,2020-11,-1422.47,-131062.99
2020-11-27,Analysis hair rest wide.,Food & Drink,1108.98,Expense,2020-11,-1108.98,-132171.97
2020-11-27,Doctor dream whole six.,Investment,4280.0,Income,2020-11,4280.0,-127891.97
2020-11-29,Question now key show.,Utilities,1001.77,Expense,2020-11,-1001.77,-128893.74
2020-12-01,Month whom stage soon.,Travel,836.83,Expense,2020-12,-836.83,-129730.57
2020-12-05,Appear lose he.,Salary,495.02,Expense,2020-12,-495.02,-130225.59000000001
2020-12-05,Surface expect several evening town.,Shopping,389.31,Expense,2020-12,-389.31,-130614.90000000001
2020-12-06,Begin treat stage this.,Utilities,1729.41,Expense,2020-12,-1729.41,-132344.31
2020-12-10,Agreement us stuff.,Travel,1642.89,Expense,2020-12,-1642.89,-133987.2
2020-12-10,Apply maybe dog yes.,Shopping,686.35,Expense,2020-12,-686.35,-134673.55000000002
2020-12-11,Case expert stop.,Travel,1676.58,Expense,2020-12,-1676.58,-136350.13
2020-12-12,Large accept bad eight.,Salary,1731.87,Expense,2020-12,-1731.87,-138082.0
2020-12-13,Vote participant institution simply down.,Salary,696.8,Expense,2020-12,-696.8,-138778.8
2020-12-14,Draw police.,Shopping,916.14,Expense,2020-12,-916.14,-139694.94
2020-12-14,Book toward.,Entertainment,1961.74,Expense,2020-12,-1961.74,-141656.68
2020-12-16,Place offer.,Shopping,474.79,Expense,2020-12,-474.79,-142131.47
2020-12-16,Investment pass drive.,Food & Drink,643.17,Expense,2020-12,-643.17,-142774.64
2020-12-16,Professor beat window.,Shopping,778.3,Expense,2020-12,-778.3,-143552.94
2020-12-18,Wonder effect administration small.,Other,1322.0,Income,2020-12,1322.0,-142230.94
2020-12-18,Name skill medical after them.,Utilities,995.7,Expense,2020-12,-995.7,-143226.64
2020-12-20,And national spend.,Food & Drink,1447.66,Expense,2020-12,-1447.66,-144674.30000000002
2020-12-20,Run pick sign.,Salary,208.43,Expense,2020-12,-208.43,-144882.73
2020-12-22,Wonder long consider care.,Utilities,158.91,Expense,2020-12,-158.91,-145041.64
2020-12-23,Fall analysis.,Travel,683.74,Expense,2020-12,-683.74,-145725.38
2020-12-23,Firm financial.,Rent,1705.01,Expense,2020-12,-1705.01,-147430.39
2020-12-24,List already positive experience television.,Shopping,1908.74,Expense,2020-12,-1908.74,-149339.13
2020-12-25,Event son join hundred.,Salary,1746.04,Expense,2020-12,-1746.04,-151085.17
2020-12-26,Fund cost reality happen.,Investment,2423.0,Income,2020-12,2423.0,-148662.17
2020-12-28,Song risk bad.,Travel,1994.88,Expense,2020-12,-1994.88,-150657.05000000002
2020-12-30,Family bill foreign fast knowledge.,Shopping,1956.89,Expense,2020-12,-1956.89,-152613.94000000003
2020-12-31,Ready goal amount.,Rent,892.92,Expense,2020-12,-892.92,-153506.86000000004
2021-01-01,Your ever woman way avoid.,Food & Drink,101.52,Expense,2021-01,-101.52,-153608.38000000003
